
Validation Epoch: Epoch loss: 0.0130, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0022, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0204, Accuracy: 838/844 (99.289%)

Validation Epoch: Epoch loss: 0.0002, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0321, Accuracy: 834/844 (98.815%)

Validation Epoch: Epoch loss: 0.0007, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0041, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0956, Accuracy: 821/844 (97.275%)

Validation Epoch: Epoch loss: 0.0005, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0161, Accuracy: 839/844 (99.408%)

Validation Epoch: Epoch loss: 0.0057, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0043, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0006, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0017, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0008, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0113, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0006, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0188, Accuracy: 838/844 (99.289%)

Validation Epoch: Epoch loss: 0.0041, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0027, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0100, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0038, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0006, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0036, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0024, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0398, Accuracy: 833/844 (98.697%)

Validation Epoch: Epoch loss: 0.0005, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.4833, Accuracy: 719/844 (85.190%)

Validation Epoch: Epoch loss: 0.0016, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0015, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0099, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0177, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0021, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0020, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0163, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0138, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0320, Accuracy: 836/844 (99.052%)

Validation Epoch: Epoch loss: 0.0160, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0103, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0014, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0142, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0086, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0128, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0050, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0234, Accuracy: 838/844 (99.289%)

Validation Epoch: Epoch loss: 0.0202, Accuracy: 837/844 (99.171%)

Validation Epoch: Epoch loss: 0.0007, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0101, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0035, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0085, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0109, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0166, Accuracy: 839/844 (99.408%)

Validation Epoch: Epoch loss: 0.0290, Accuracy: 835/844 (98.934%)

Validation Epoch: Epoch loss: 0.0005, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0401, Accuracy: 830/844 (98.341%)

Validation Epoch: Epoch loss: 0.0081, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0080, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0010, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0088, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0097, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0001, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0023, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0008, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0538, Accuracy: 826/844 (97.867%)

Validation Epoch: Epoch loss: 0.0007, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0004, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0037, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0497, Accuracy: 825/844 (97.749%)

Validation Epoch: Epoch loss: 0.0013, Accuracy: 843/844 (99.882%)

